_to,_from,cityFrom,cityTo,distance,time
1084,1085,Balatonkeresztúr,Nagyatád,60.7,
1085,1086,Nagyatád,Barcs,,
1086,1087,Barcs,Virovitica,,
1087,1088,Virovitica,Okučani,93.8,91
1088,1089,Okučani,Banja Luka,66.8,65
1089,1090,Banja Luka,Jajce,70.9,74
1090,1091,Jajce,Donji Vakuf,34.9,
1090,1115,Jajce,Bihać,152,131
1093,1094,Lugoj,Ilia,,
1095,1096,Negru Vodă,Kardam,,
1097,1098,Ashtarak,Gyumri,98.5,98
1098,1099,Gyumri,Ashotsk,34.9,
1099,1100,Ashotsk,Akhalkalaki,55.1,78
1100,1101,Akhalkalaki,Akhaltsikhe,71.3,82
1101,1102,Akhaltsikhe,Vale  Georgia,12.1,
1102,1103,Vale  Georgia,Türkgözü,9.4,
1103,1104,Türkgözü,Posof,21.2,
1104,1105,Posof,Kars,,
1105,1106,Kars,Horasan,,
1107,1108,Supsa,Lanchkhuti,21.4,
1109,1111,Grenoble,Valence,,
1113,1114,Pula,Koper,102,79
1116,1117,Sarajevo,Užice,183,185
1117,1118,Užice,Čačak,56.7,60
1118,1119,Čačak,Kraljevo,38.3,
1118,1124,Čačak,Nova Varoš,122,126
1119,1120,Kraljevo,Kruševac,61.0,67
1120,1121,Kruševac,Pojate,23.6,
1121,1122,Pojate,Paraćin,13.6,
1122,1123,Paraćin,Zaječar,88.0,77
1127,1128,Coimbra,Viseu,91.6,74
1129,1130,Chaves,Verín,26.7,
1129,1140,Chaves,Famalicão,133,85
1131,1132,Guarda,Castelo Branco,99.3,72
1132,1133,Castelo Branco,Portalegre,97.0,74
1132,1142,Castelo Branco,Abrantes,91.9,62
1133,1134,Portalegre,Évora,103,76
1134,1135,Évora,Beja,81.5,63
1135,1136,Beja,Ourique,58.9,
1137,1138,Salamanca,Mérida,,
1141,1142,Torres Novas,Abrantes,34.8,
1145,1146,Avellino,Benevento,44.9,
1147,1148,Spezzano Albanese,Sybaris,,
1151,1152,Sant'Eufemia Lamezia,Catanzaro,37.4,
1155,1156,Balıkesir,Manisa,153,111
1158,1159,Jaén,Granada,93.2,63
1160,1161,Buonfornello,Enna,90.0,64
1162,1163,Alcamo,Trapani,49.9,
1164,1165,Arta,Agrinio,85.4,62
1165,1166,Agrinio,Messolonghi,37.5,
1167,1168,Aktio,Vonitsa,,
1168,1169,Vonitsa,Amfilochia,36.3,
1169,1170,Amfilochia,Karpenisi,116,148
1171,1172,Sparti,Gytheio,43.2,
1173,1174,Eleusina,Thebes,51.5,
